run_date,rule_id,finding_count
2026-08-25,duplicate-pricing,16
2026-08-25,zero-price,33
2026-08-25,zero-weight,29
2026-08-25,vendor-corrupt,9
2026-08-25,compat-graph,5
2026-08-25,fake-sale,8
2026-08-25,oos-published,56
2026-08-25,taxonomy,107
2026-08-25,specs-hidden,90
2026-08-25,missing-sku,11
2026-08-25,thin-description,36
2026-08-25,no-images,2
2026-08-25,duplicate-pricing,16
2026-08-25,zero-price,33
2026-08-25,zero-weight,29
2026-08-25,vendor-corrupt,9
2026-08-25,compat-graph,5
2026-08-25,fake-sale,8
2026-08-25,oos-published,56
2026-08-25,taxonomy,107
2026-08-25,specs-hidden,90
2026-08-25,missing-sku,11
2026-08-25,thin-description,36
2026-08-25,no-images,2
2026-08-26,duplicate-pricing,16
2026-08-26,zero-price,33
2026-08-26,zero-weight,29
2026-08-26,vendor-corrupt,9
2026-08-26,compat-graph,5
2026-08-26,parts-coverage,15
2026-08-26,fake-sale,8
2026-08-26,oos-published,56
2026-08-26,taxonomy,107
2026-08-26,specs-hidden,90
2026-08-26,missing-sku,11
2026-08-26,thin-description,36
2026-08-26,no-images,2
2026-08-26,duplicate-pricing,16
2026-08-26,zero-price,33
2026-08-26,zero-weight,29
2026-08-26,vendor-corrupt,9
2026-08-26,compat-graph,5
2026-08-26,parts-coverage,15
2026-08-26,fake-sale,6
2026-08-26,oos-published,58
2026-08-26,taxonomy,107
2026-08-26,specs-hidden,90
2026-08-26,missing-sku,11
2026-08-26,thin-description,36
2026-08-26,no-images,2
2026-08-27,duplicate-pricing,16
2026-08-27,zero-price,33
2026-08-27,zero-weight,29
2026-08-27,vendor-corrupt,9
2026-08-27,compat-graph,5
2026-08-27,parts-coverage,15
2026-08-27,fake-sale,6
2026-08-27,oos-published,57
2026-08-27,taxonomy,107
2026-08-27,specs-hidden,90
2026-08-27,missing-sku,11
2026-08-27,thin-description,36
2026-08-27,no-images,2
2026-08-28,duplicate-pricing,16
2026-08-28,zero-price,33
2026-08-28,zero-weight,29
2026-08-28,vendor-corrupt,9
2026-08-28,compat-graph,5
2026-08-28,parts-coverage,15
2026-08-28,fake-sale,6
2026-08-28,oos-published,55
2026-08-28,taxonomy,107
2026-08-28,specs-hidden,90
2026-08-28,missing-sku,11
2026-08-28,thin-description,36
2026-08-28,no-images,2
2026-08-29,duplicate-pricing,16
2026-08-29,zero-price,33
2026-08-29,zero-weight,29
2026-08-29,vendor-corrupt,9
2026-08-29,compat-graph,5
2026-08-29,parts-coverage,15
2026-08-29,fake-sale,6
2026-08-29,oos-published,55
2026-08-29,taxonomy,107
2026-08-29,specs-hidden,90
2026-08-29,missing-sku,11
2026-08-29,thin-description,36
2026-08-29,no-images,2
2026-08-30,duplicate-pricing,16
2026-08-30,zero-price,33
2026-08-30,zero-weight,29
2026-08-30,vendor-corrupt,9
2026-08-30,compat-graph,5
2026-08-30,parts-coverage,15
2026-08-30,fake-sale,6
2026-08-30,oos-published,55
2026-08-30,taxonomy,107
2026-08-30,specs-hidden,90
2026-08-30,missing-sku,11
2026-08-30,thin-description,36
2026-08-30,no-images,2
2026-08-31,duplicate-pricing,16
2026-08-31,zero-price,33
2026-08-31,zero-weight,29
2026-08-31,vendor-corrupt,9
2026-08-31,compat-graph,5
2026-08-31,parts-coverage,15
2026-08-31,fake-sale,6
2026-08-31,oos-published,55
2026-08-31,taxonomy,107
2026-08-31,specs-hidden,90
2026-08-31,missing-sku,11
2026-08-31,thin-description,36
2026-08-31,no-images,2
2026-09-01,duplicate-pricing,16
2026-09-01,zero-price,33
2026-09-01,zero-weight,29
2026-09-01,vendor-corrupt,9
2026-09-01,compat-graph,5
2026-09-01,parts-coverage,15
2026-09-01,fake-sale,6
2026-09-01,oos-published,56
2026-09-01,taxonomy,109
2026-09-01,specs-hidden,90
2026-09-01,missing-sku,11
2026-09-01,thin-description,36
2026-09-01,no-images,2
2026-09-02,duplicate-pricing,16
2026-09-02,zero-price,33
2026-09-02,zero-weight,29
2026-09-02,vendor-corrupt,9
2026-09-02,compat-graph,5
2026-09-02,parts-coverage,15
2026-09-02,fake-sale,6
2026-09-02,oos-published,52
2026-09-02,taxonomy,109
2026-09-02,specs-hidden,90
2026-09-02,missing-sku,11
2026-09-02,thin-description,36
2026-09-02,no-images,2
2026-09-03,duplicate-pricing,16
2026-09-03,zero-price,33
2026-09-03,zero-weight,29
2026-09-03,vendor-corrupt,9
2026-09-03,compat-graph,5
2026-09-03,parts-coverage,15
2026-09-03,fake-sale,5
2026-09-03,oos-published,53
2026-09-03,taxonomy,109
2026-09-03,specs-hidden,90
2026-09-03,missing-sku,11
2026-09-03,thin-description,36
2026-09-03,no-images,2
2026-09-04,duplicate-pricing,16
2026-09-04,zero-price,33
2026-09-04,zero-weight,29
2026-09-04,vendor-corrupt,9
2026-09-04,compat-graph,5
2026-09-04,parts-coverage,16
2026-09-04,fake-sale,5
2026-09-04,oos-published,51
2026-09-04,taxonomy,109
2026-09-04,specs-hidden,90
2026-09-04,missing-sku,11
2026-09-04,thin-description,36
2026-09-04,no-images,2
2026-09-05,duplicate-pricing,16
2026-09-05,zero-price,33
2026-09-05,zero-weight,29
2026-09-05,vendor-corrupt,9
2026-09-05,compat-graph,5
2026-09-05,parts-coverage,16
2026-09-05,fake-sale,5
2026-09-05,oos-published,53
2026-09-05,taxonomy,109
